Rotatable_Bonds	SMILES	Rot_Hash
0	O=C1CC[C@@H]2N1CC[C@@H]1c3ccsc3CCN12	rot0_dd77a93463
0	[N-]=[N+]=C1c2cc(I)ccc2-c2ccc(I)cc21	rot0_c6a791646a
0	C/C(C#CC1=C(Cl)C(=O)C(O)=C(Cl)C1=O)=C\Cl	rot0_9fb0a42843
0	N=C1C=C[C@]2(O)C[C@H](Cl)CN12	rot0_fc7589c8a2
0	Nc1nc2nc3c1ncn3CCCCN1C=NC3C1=NC=N/C3=N/CCC2	rot0_a90351572b
0	O=C1c2c(Br)noc2CCC1Br	rot0_9fecfff470
0	[O-][N+]1=CCCC12CCCC2	rot0_9698b8efe8
0	Oc1onc2c1CCNC2	rot0_05ac8eaf34
0	Cc1cc2c(o1)CCC1=C2[C@@H](S)C[C@]2(C)C1=COCC2O	rot0_17bae0788d
0	c1cn2cnc3nnnc-3c2s1	rot0_87645cb6b5
0	C[C@@H]1[C@@H](O)C[C@]2(O)C[C@@]3(O)CC(C)(C)C[C@H]3[C@]12C	rot0_622215fee8
0	FC(F)(F)C#CBr	rot0_8a09b5f7c3
0	C1=NC2=NC=NC3=NC=NC(=N1)N23	rot0_6512e005f7
0	FC1(F)N=N1	rot0_21e6e4e492
0	FC(F)=C=C(F)F	rot0_39817687ca
0	N#Cc1sc(=O)sc1C#N	rot0_3b4fcff2de
0	Nc1c(O)[nH]c(=O)[n+]([O-])c1N	rot0_c0e38b8336
0	C=C=CC#N	rot0_f6d072105d
0	N#CC(=C=O)C#N	rot0_858fa1a76d
0	FC(F)(F)C(=C=S)C(F)(F)F	rot0_ffdac3020a
0	P=C=P	rot0_0de08c098e
0	C#CP	rot0_e4bf2e6e2a
0	F/N=N\F	rot0_075fc7d38e
0	FS(F)=NC(F)(F)F	rot0_0b59d63498
0	FP(F)C(Cl)(Cl)Cl	rot0_305d37c65f
0	N#CC#CBr	rot0_be0bfd38ec
0	FN=C(N(F)F)N(F)F	rot0_ddfd55d4e3
0	N#CP(C#N)C#N	rot0_05d12216c7
0	FC(F)(F)SC(=S)Cl	rot0_2aa14cc824
0	C1#C/C=C\C=C/C=C\C#C/C=C\1	rot0_eb221c46a9
0	CN1P(F)(F)(F)N(C)P1(F)(F)F	rot0_7c263b5c3e
0	c1css1	rot0_58f95e464c
0	CN=C(C)C	rot0_4bcf140acc
0	C1=CC=C2C=CC=CC(=C1)N2	rot0_46b9699823
0	O=S1(=O)C=CC1	rot0_9df27af5e6
0	N#CC1=CC=CC1	rot0_04c01a8ece
0	C=C1C(=C)C2(C)C3(C)C(=C)C(=C)C1(C)C23C	rot0_95c7b58171
0	C1=NN2C3CCC=NN3C3CCC=NN3C2CC1	rot0_c671e58912
0	S1SSS1	rot0_3d236eae73
0	Cc1oc(=S)n(C)c1C	rot0_925c874e08
0	Cc1cp(C(C)(C)C)cc1C	rot0_ac2b800540
0	CC1=C(C)S1(=O)=O	rot0_1249665d78
0	CP(C)(C)=N	rot0_d42767531c
0	C1C2C3N=NC2C2C1C32	rot0_5f6bc48ebb
0	Cc1ssc(=S)c1C#N	rot0_4a125d563f
0	FC(F)(F)C1=C(C(F)(F)F)SC(=C2SC(C(F)(F)F)=C(C(F)(F)F)S2)S1	rot0_ae7ff8609f
0	N1=S=NSN=S=NS1	rot0_b9bc87ff29
0	CC1C=CCN(C)N1C	rot0_ce1dd2cb2a
0	[O-][n+]1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	rot0_6d63c1a652
0	O=C=C1C=CC=CC1=O	rot0_726b316e17
0	Cc1ncc([O-])c2[n+]1CCS2	rot0_8f58fd3ff9
0	Clc1c#ccc(Cl)c1	rot0_23ef21e54e
0	C[n+]1cccc([NH-])c1	rot0_da037cf12a
0	CC1CN=S=N1	rot0_1a28eaa05c
0	CC1(C)C=CSC1=O	rot0_79588625cf
0	S=c1occo1	rot0_812d479624
0	s1ssssss1	rot0_fdbcc87051
0	O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3	rot0_1035390d9a
0	C1#CCCCC/C=C\1	rot0_8cd63d6d11
0	C=C=C1C=c2ccccc2=C1	rot0_6451bfb182
0	[C-]#[N+][N+]#[C-]	rot0_ad72caa67a
0	CC(C)(C)/C1=N\S/N=C(\C(C)(C)C)N=S=N1	rot0_38413ce4c3
0	Fc1c(F)c(F)c2c(c1F)N=S=N2	rot0_3811740bd2
0	CN=C1C(C)(C)N=NC1(C)C	rot0_d080823446
0	CC1(C)OC(C)(C)C2(OC3=C(S2)C(C)(C)OC3(C)C)C1=O	rot0_24a4a03702
0	N#CN=C=S	rot0_476f35662a
0	S=P(=S)Cl	rot0_304c101e06
0	C(=C1C2C3C2C2C1C32)=C1C2C3C2C2C1C32	rot0_519fc2375d
0	Cn1ncc(=S)n1C	rot0_c4501c973d
0	C=c1oc(=O)oc1=C	rot0_7825b79633
0	FC1(F)C2=C(C3=C(C4=C(C5=C2C(F)(F)C5(F)F)C(F)(F)C4(F)F)C(F)(F)C3(F)F)C1(F)F	rot0_4b8b899a66
0	C=CP	rot0_5909ed7073
0	CC(C)(C)N1C=CC2C=CC1C2	rot0_e70b31075e
0	CC(C)(C)/N=P/C(C)(C)C	rot0_8ac9e1cc43
0	Fc1nc(F)c2c(F)nc(F)c(F)c2c1F	rot0_d8fe8499bc
0	O=NI	rot0_d1934a256d
0	[O-][N+]#CBr	rot0_a6c12deaca
0	IC#CC#CI	rot0_29f8b577d2
0	Brc1sc2sc(Br)c(Br)c2c1Br	rot0_102c9bfba6
0	S=P12CN3CN(CN(C3)C1)C2	rot0_d1824be29d
0	CC(C)=C1C2CCC1c1c(F)c(F)c(F)c(F)c12	rot0_b1816a20de
0	CC1=CC=C(C(C)(C)C)SC(C(C)(C)C)C1	rot0_e9260ac173
0	CC1(C)C#CC(C)(C)C#CC(C)(C)C#CC(C)(C)C#C1	rot0_00a07a7249
0	CC(C)(C)C1=CC2=C(C(C)(C)C)C=C(C(C)(C)C)C2=C1	rot0_809c5e4119
0	O=S1C(Br)=Cc2ccccc21	rot0_39d44fd177
0	C#CC#CF	rot0_da3f7bb0ea
0	IC12C3C4C5C3C1C5C42	rot0_fb0bb07505
0	P#CCl	rot0_66b93b79ad
0	[C-]#[N+]C12CCC(CC1)C2	rot0_6429c336c2
0	C#CSO	rot0_8c628a8225
0	C1CC2CC1N1C3CCC(C3)N21	rot0_055ffb991f
0	C1#CCSCC#CCOC1	rot0_d310112332
0	FC(F)(F)n1n2n1C(C(F)(F)F)(C(F)(F)F)CC21CCCCC1	rot0_904f8c1847
0	CC1=C2c3ccccc3[NH2+]C2C(C)=C2C=CN(C)C(C)=C12	rot0_d725853681
0	Nc1[nH]/c(=N\O)[nH]c2ncnc1-2	rot0_3d3a5b65fe
0	Cc1c(C(C)(C)C)nn(C)c1C(C)(C)C	rot0_2d31b145f0
0	O=C1NC(=O)c2c(ncn2[O-])[NH2+]1	rot0_43e4a18db3
0	CC(C)(C)C#CC(C)(C)C#CC(C)(C)C	rot0_4602acd74a
0	OC1=CC=C(O)C(=S)C1	rot0_1bc903893a
0	O=C1C=C(Cl)C(=O)C1(Cl)Cl	rot0_abaa2b321e
0	Clc1c(Br)c(Br)c2oc3c(Br)c(Br)c(Br)c(Br)c3c2c1Cl	rot0_25c1217f68
0	[O-][n+]1cccc2c1C=C[C@H]1O[C@@H]21	rot0_4ecfbb60ff
0	C[C@]12C3=Cc4ccccc4C1=CC=C1C=c4ccccc4=C(C=C3)[C@@]12C	rot0_69d2410b5f
0	O=C1OCCOCCOCCOC(=O)c2ccc(o2)CSCc2ccc1o2	rot0_f7b0b0284e
0	Brc1c[nH]c(Br)c1Br	rot0_8eeb0ce5ec
0	Cl[C+](Cl)Cl	rot0_2f84a2d217
0	C=C1[C@H]2C[C@@H]3C4N5C[C@]6(C)CCCC47[C@H](C2)C3(C[C@H]5[C@@H]76)[C@@H]1O	rot0_4f27f87c1d
0	C1=CCC2CC3C4C=CC=CC4CN3NCC2=C1	rot0_9001380e4a
0	C[C@@H]1OC12C[C@]1(CO1)[C@@](C)(O)C(=O)OCC1=CCN3CC[C@@H](OC2=O)[C@@H]13	rot0_13a9fad449
0	N=c1ncn2c(n1)oc1ccccc12	rot0_fd2b0221c4
0	N=C1N[C@H](O)[C@H]2[C@H]3O[C@]4(O)O[C@H]([C@H]3O)[C@@H](O)[C@@]2(N1)[C@H]4O	rot0_62344c2ad3
0	C1=Cc2nncn2N2CCCN=C12	rot0_b8987660ee
0	N=C=N	rot0_eb513e25a6
0	CC1=C2[C@H]3O[C@]34CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]4[C@H]3O[C@@]23OC1=O	rot0_cf866929d6
0	OOO	rot0_0ab78a3c80
0	SSS	rot0_f542e296af
0	C1CON=N1	rot0_a270bd01ae
0	O=S1(=O)OOOO1	rot0_bebfb388c3
0	ClC1C(Cl)C2(Cl)C3=C(CCC4OC34)C1(Cl)C2(Cl)Cl	rot0_47da625cb5
0	O=C1C(Cl)=C(Cl)C(=O)C1=C(Cl)Cl	rot0_5bc38c1367
0	c1ccc2c(c1)[n-]c1c2cc[n+]2cc3c(cc12)CCCC3	rot0_db6e1a1db9
0	FC1=C(F)OC(C(F)(F)F)(C(F)(F)F)O1	rot0_f262b6c9c4
0	O=C1N=NN=C2N=CN=C12	rot0_7bef19cefe
0	c1ccc2c(c1)CNCc1cccn1-2	rot0_b7fac71d1e
0	CC1=C(C)S(=O)C=[N+]1[O-]	rot0_a24a79b2b2
0	Cc1nc(N)nc2c1N/C(=N/N)CS2	rot0_7525584bec
0	C[C@@H]1C[C@@H](O)n2c(nc3nc4n(c3c2=O)[C@@H](C)C[C@@H]4O)N1	rot0_ba09085ee4
0	[O-]P([O-])(=S)[S-]	rot0_bcf3538f9b
0	OP(S)S	rot0_a4b5552392
0	O=c1[n-]c(=O)[nH][nH]1	rot0_c7fac47b31
0	[CH2+]C12C=CC=CC1=CC1C=Cc3cccc4ccc2c1c34	rot0_f88a712857
0	Clc1cc(Cl)c2c(c1)Oc1c(cc(Cl)c(Br)c1Cl)O2	rot0_45f743db7a
0	CC1(C)/C=C/C2=Nc3cc(Br)c(Br)c(Br)c3C23CC(=O)N3/C=C(\Cl)c2[nH]c(Br)nc21	rot0_f11c52018e
0	Cc1c/c(=N\O)c2c(O)ccoc-2[n+]1[O-]	rot0_c13d24557f
0	CC1(C)C(Br)=C[C@H]2O[C@@]2(C)C12CC[C@](C)(Cl)[C@@H](Br)C2	rot0_5c40e4e76b
0	C[N-]C	rot0_042b8508cc
0	[O-][N+]12CCCC[C@H]1[C@@H]1C[C@H](C2)[C@H]2CCCCN2C1	rot0_0f6104d36c
0	CC#CC#C/C=C1\C=CC2(OC=CC2O)O1	rot0_45ce3dd373
0	Cc1cc(=O)c2c(O)c3c(cc2o1)OC1CCN(C)C(O)C1C3=O	rot0_409e771fbf
0	O=P[O-]	rot0_dd6dfde6dd
0	CC1(C)N(Cl)C(=O)N(Br)C1(C)C	rot0_8bd5bd0577
0	CN1P2(=S)N(C)P3(=S)N(C)P1(=S)N(C)P(=S)(N2C)N3C	rot0_3c5599f92e
0	O=C1CCC(=O)[N-]1	rot0_8f01d12b67
0	C[C@H]1OC(=O)/C(=C2\CCCO2)C1=O	rot0_c8e94873e4
0	[O-][n+]1cc2c3c[n+]([O-])c4ccccc4c3[n+]([O-])nc2c2ccccc21	rot0_b7ecc7f6fb
0	CC1=C2N=C3C(=O)N=C(N)N=C3NCC2C2CNc3nc(N)[nH]c(=O)c3N12	rot0_07e1bdff5a
0	O=S1(=O)c2cc(F)ccc2Oc2ccc(F)cc21	rot0_3d75501540
0	FC1(F)OC1(Cl)Cl	rot0_5c26c94ab6
0	CC1=C(N)C(=O)CC(C)(C)C1N	rot0_4ed81e286b
0	O=S1(=O)CC(C(Cl)(Cl)Cl)O1	rot0_7268b502a0
0	Clc1cnc(I)c(Cl)c1Cl	rot0_846584ae39
0	c1ccc2c(c1)Oc1cccnc1S2	rot0_65323da603
0	C[C@]1(O)[C@H](O)c2c(c3c(=O)c4cccc(O)c4c(=O)c=3c2=[N+]=[N-])[C@H](O)[C@H]1O	rot0_bb9ac89bf0
0	C[N+]1(C)CCN(C(=S)[S-])CC1	rot0_f8e1351e3f
0	C[C@]12CC[C@H]3[C@@H](CC=C4C=CCC[C@@]43C)[C@@H]1CC[C@@H]2N	rot0_0e129453bd
0	O=C1CSc2[nH]c(=O)[nH]c(=O)c2N1	rot0_ad50c9e6eb
0	CC(C)=C1C=Cc2c1ccc1c2ccc2ccccc21	rot0_1a19e6df36
0	CC12C=CC=C3OC/C4=C/C5=C(C=CC(C1)C5=O)OCOC4=C32	rot0_5457a0b169
0	FC1C2=C(SC1(F)F)C1CCC2C1	rot0_3dba10a185
0	FC1(F)SC2C3CCC(C3)C2C1(F)Cl	rot0_ae6d452a38
0	FC1(F)SC2c3cccc4cccc(c34)C2C1(F)F	rot0_7b5d03b003
0	FC1=C2CCCC2SC1(F)F	rot0_b01332b6df
0	Cc1n[nH]c2nc(=N)[nH]n2c1=O	rot0_d87bc4d380
0	O=C1OC(O)=C2OC3(CCCCC3)OC12	rot0_4dd3e8ae16
0	C=C1C(C)=NN=C(NC(N)=O)N1C	rot0_22009100c7
0	ClC(Cl)(Cl)P(Cl)(Cl)(Cl)Cl	rot0_576fa9dbec
0	[O-][NH+](O)O	rot0_e8f4dc3a65
0	OC(C#CCl)=C1CCCCC1	rot0_086c3d75bc
0	Nn1[nH]nnc1=S	rot0_384c8bdf42
0	Clc1nc(Cl)c(Cl)s1	rot0_7cc73b6577
0	CC12CCC3(C1)C(CCCC3(C)C)C2=O	rot0_38e63a8304
0	FC(F)(F)C12C(F)(F)C3(F)C(F)(F)C(F)(C1(F)F)C(F)(F)C(C(F)(F)F)(C3(F)F)C2(F)F	rot0_4d325d02ff
0	N#CC(C#N)=C1NC(=O)NC(=O)N1	rot0_9a577e305e
0	c1ccc2c(c1)C[C@H]1[C@@H]2N=C2SCCN21	rot0_0c82ffc40f
0	O=C1NCC(=O)N2CSCC12	rot0_6512284298
0	O=C1SC2CCC3SC(=S)C2C13	rot0_a4c15aed5d
0	S=C1OC2CCC3OC(=S)C2C13	rot0_606da6d9ab
0	Sc1cn2c(n1)CCC2	rot0_b724be2c3e
0	C1=c2ccccc2=c2ccccc2=NO1	rot0_b6a9e9a069
0	BrN(Br)Br	rot0_ce7a83f964
0	CC1=C(C)CP(C)(Cl)(Cl)C1	rot0_1a09b01a6a
0	O1P2OP3OP1OP(O2)O3	rot0_de82895881
0	CC1S[C@@H](C)N(C)[C@H](C)S1	rot0_9c5f3eb25a
0	Nc1cc(Br)c(O)c2c1C(=O)[C@H]1C(=O)[C@H](N)C(Br)=CC1=C2O	rot0_9a8af568ff
0	CN1CCCCC/C1=N\C(=N)NC#N	rot0_c823bc2092
0	O=C1Nc2nc(=O)nc3[nH]c(=O)nc(n23)N1	rot0_44feb322de
0	Oc1nncc2c1Sc1cnnc(O)c1S2	rot0_0df72e990a
0	N=c1[nH]n2cnnc2s1	rot0_699a1f8b23
0	Sc1ccc2nncc(S)c2c1	rot0_745a1b6ac7
0	NC1=NC(N)=N1	rot0_968c924a67
0	O=C1NS(=O)(=O)C2C(Cl)=C(Cl)C3(Cl)C2C13Cl	rot0_67c6c34af1
0	FC(F)(F)c1nc(Cl)c2ncsc2n1	rot0_9924f50bb9
0	CC12CCC(CC1)C(C)(C)NC(=N)S2	rot0_2bdd1c8522
0	Oc1nc(O)c2nnoc2n1	rot0_57ad2a433d
0	CC1=CC(=O)Nc2cncnc2N1	rot0_e305f18070
0	N=C1NS(=O)(=O)N=C2NON=C12	rot0_c701bb86af
0	OC1Cn2cc(Br)c[n+]2C1	rot0_44b3fb0cf1
0	c1cc2sc1CSCCSCCSC2	rot0_79fa55841e
0	O=C1N=C(NO)c2ccccc21	rot0_845cd2b88d
0	C[N+]12CN3CN(CP(C3)C1)C2	rot0_76c086b2ab
0	C1CC[N+]2(C1)CC[N+]1(CCCC1)CC2	rot0_1d3b98e030
0	C=C1CC2(CCS(=O)(=O)c3ccccc32)OC1=O	rot0_5ba005d835
0	O=C1OC2C=CC1C1C(=O)OC(=O)C21	rot0_553d29c0fa
0	CS1(=O)=N/C(=N\C#N)c2ccccc21	rot0_9307f14573
0	O=C1N=C2NC=NN2C1=O	rot0_b8fcb75f4d
0	S=C1Cc2[nH]c(=S)sc(=S)c2C(=S)N1	rot0_c2d4f2b599
0	NNC1=Nc2ccccc2N=C2CCSCC21	rot0_9cd31be2b0
0	O=C1CCC/C1=C1\SS/C(=C2\CCCC2=O)S1	rot0_184402d9a8
0	N=C1NC(=O)C(=NO)C(=O)N1	rot0_9bf56fb2a7
0	N#Cc1n[nH]c2[nH]c(=S)sc(=N)c12	rot0_00bbe2dbc3
0	CC12C=NNC1(C)C(=O)C1(C)CN=NC1(C)C2=O	rot0_e6d40c4aae
0	O=C1NC23CC=CCC12CCC3	rot0_cf5e9ab382
0	CC(C)(C)N1COCOC2CCCC21	rot0_b0fe4611b7
0	ClC1=NSC(Cl)=NS1	rot0_8c37721d51
0	OC1C=CCC2C(F)(F)C(F)(Cl)C12Cl	rot0_e31ca48dca
0	OC1C[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@@H]43)OCO7	rot0_6a8ab9aab3
0	c1nnnnn1	rot0_f6538a7388
0	c1ccc2nc3cc4c(cc3nc2c1)=NC1(CCCCCC1)N=4	rot0_84cb1b2f08
0	c1nnc2ncncc2n1	rot0_9272cdcc47
0	C1=COC2=CC=COC2=C1	rot0_3f02b2f7fb
0	n1nn[nH]n1	rot0_60e887db96
0	NC(=O)NC(=O)NC(=O)C(N)=O	rot0_224b41d5fe
0	C1=C\C=C/N=C\C=C/1	rot0_7a4f8b8d10
0	C1=Cc2c(ccc3c4c(ccc23)=CCN=C4)=C1	rot0_95d9e80794
0	O=S1(=O)C(F)(F)C(F)(F)C(F)(F)C1(F)F	rot0_980b3d2657
0	O=C1CC2=C3C(=C4NC=CN4C4=C5N=CN=C5C=CC34C1)C(=O)CC2	rot0_b378300574
0	FC(F)(F)C(=C1C(F)(C(F)(F)F)OCCOC1(C(F)(F)F)C(F)(F)F)C(F)(F)F	rot0_e77a0cfaa3
0	Cc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CC[N+](C)([O-])CC1	rot0_3d5c58f6e5
0	OC1(C#CBr)CCCCCCC1	rot0_3219dce870
0	O=S1CSC1	rot0_6b811913fb
0	Cc1c2cn(C)ccc-2c(C)[c+]2[nH]c3ccc(N)cc3c12	rot0_3341ead724
0	C1=Cc2ccccc2N2N=C3C=Cc4ccccc4N3N=C12	rot0_6205a14da9
